Name,RA(phi),Dec(theta)
Andromeda,4.68771,40.8995
Antlia,143.826,-34.0216
Apus,230.579,-75.5329
Aquarius,330.143,-10.2682
Aquila,287.031,3.10548
Ara,252.281,-53.5646
Aries,33.2837,21.5316
Auriga,81.4021,39.6852
Bootes,258.997,29.755
Caelum,63.8322,-38.8079
Camelopardalis,84.3338,66.6344
Cancer,122.938,19.6315
Canes_Venatici,183.08,39.851
Canis_Major,96.8744,-22.4125
Canis_Minor,106.615,6.13473
Capricornus,308.402,-18.2925
Carina,135.704,-60.8392
Cassiopeia,6.8698,61.1055
Centaurus,108.668,-47.2491
Cepheus,336.732,68.5057
Cetus,16.5591,-8.96123
Chamaeleon,154.656,-78.9661
Circinus,238.677,-63.6985
Columba,82.4249,-35.7925
Coma_Berenices,184.113,22.9535
Corona_Australis,275.311,-40.3442
Corona_Borealis,230.686,32.4645
Corvus,179.786,-18.5251
Crater,163.87,-16.1376
Crux,179.575,-60.3028
Cygnus,299.238,42.8708
Delphinus,301.548,13.2447
Dorado,72.9043,-63.386
Draco,300.429,63.7042
Equuleus,313.89,7.32854
Eridanus,49.2526,-19.4104
Fornax,34.4855,-30.9441
Gemini,99.2024,22.8156
Grus,332.719,-44.9508
Hercules,253.799,27.6845
Horologium,40.6331,-52.9171
Hydra,121.476,-16.9211
Hydrus,24.6092,-70.69
Indus,318.886,-58.2237
Lacerta,330.55,45.7712
Leo,152.286,13.7286
Leo_Minor,147.5,33.2525
Lepus,78.2981,-18.8787
Libra,221.536,-16.6541
Lupus,222.343,-42.367
Lynx,112.119,48.065
Lyra,277.107,36.6318
Mensa,72.5151,-76.5565
Microscopium,307.673,-36.6061
Monoceros,95.8296,-1.73126
Musca,180.787,-69.202
Norma,235.372,-52.0726
Octans,336.006,-82.2453
Ophiuchus,253.402,-5.76396
Orion,76.4386,3.09596
Pavo,285.988,-64.9056
Pegasus,333.061,19.7569
Perseus,43.2386,44.6948
Phoenix,6.52056,-46.5565
Pictor,79.3299,-53.7286
Pisces,3.12969,10.7985
Piscis_Austrinus,328.943,-30.3193
Puppis,107.506,-33.8304
Pyxis,123.771,-28.9432
Reticulum,52.8767,-61.6629
Sagitta,290.602,18.3644
Sagittarius,279.555,-26.5009
Scorpius,245.895,-33.0231
Sculptor,1.13009,-31.2867
Scutum,270.637,-9.57308
Serpens,242.21,4.74409
Sextans,146.957,-2.72117
Taurus,60.3025,17.4717
Telescopium,282.485,-50.3205
Triangulum,26.31,32.1162
Triangulum_Australe,233.995,-65.6926
Tucana,351.27,-62.6051
Ursa_Major,153.782,53.6875
Ursa_Minor,285.705,76.8923
Vela,133.358,-47.5363
Virgo,98.9301,-2.85996
Volans,112.281,-69.6777
Vulpecula,295.131,24.4685
